query_id,question,schema,query
0,How many heads of the departments are older than 56 ?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT COUNT(*)
FROM head
WHERE age > 56"
1,"List the name, born state and age of the heads of departments ordered by age.","{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT head.name, head.born_state, head.age
FROM head
JOIN management ON head.head_id = management.head_id
ORDER BY head.age"
2,"List the creation year, name and budget of each department.","{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT creation, name, budget in billions FROM department"
3,What are the maximum and minimum budget of the departments?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT MAX(`budget in billions`), MIN(`budget in billions`) FROM department"
4,What is the average number of employees of the departments whose rank is between 10 and 15?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}",SELECT AVG(`num employees`) FROM department WHERE ranking BETWEEN 10 AND 15
5,What are the names of the heads who are born outside the California state?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT head.name 
FROM head 
WHERE head.born_state != 'California'"
6,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT DISTINCT department.creation 
FROM department 
JOIN management ON department.department id = management.department id 
JOIN head ON management.head id = head.head id 
WHERE head.born state = 'Alabama'"
7,What are the names of the states where at least 3 heads were born?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT born_state 
FROM head 
GROUP BY born_state 
HAVING COUNT(*) >= 3"
8,In which year were most departments established?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT creation 
FROM department 
GROUP BY creation 
ORDER BY COUNT(*) DESC 
LIMIT 1"
9,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT department.name, department.num employees
FROM department
JOIN management ON department.department id = management.department id
JOIN head ON management.head id = head.head id
WHERE management.temporary acting = 'Yes'"
