,gold,db_id
0,SELECT count(*) FROM head WHERE age  >  56,department_management
1,SELECT name ,  born_state ,  age FROM head ORDER BY age,department_management
2,SELECT creation ,  name ,  budget_in_billions FROM department,department_management
3,SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department,department_management
4,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,department_management
5,SELECT name FROM head WHERE born_state != 'California',department_management
6,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',department_management
7,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,department_management
8,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,department_management
9,SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes',department_management
10,SELECT count(DISTINCT temporary_acting) FROM management,department_management
11,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,department_management
12,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',department_management
13,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',department_management
14,SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1,department_management
15,SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%',department_management
16,SELECT count(*) FROM farm,farm
17,SELECT count(*) FROM farm,farm
18,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,farm
19,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,farm
20,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',farm
21,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',farm
22,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,farm
23,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,farm
24,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,farm
25,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,farm
26,SELECT max(Cows) ,  min(Cows) FROM farm,farm
27,SELECT max(Cows) ,  min(Cows) FROM farm,farm
28,SELECT count(DISTINCT Status) FROM city,farm
29,SELECT count(DISTINCT Status) FROM city,farm
30,SELECT Official_Name FROM city ORDER BY Population DESC,farm
31,SELECT Official_Name FROM city ORDER BY Population DESC,farm
32,SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1,farm
33,SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1,farm
34,SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID,farm
35,SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID,farm
36,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,farm
37,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,farm
38,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,farm
39,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,farm
40,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,farm
41,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,farm
42,SELECT Status ,  avg(Population) FROM city GROUP BY Status,farm
43,SELECT Status ,  avg(Population) FROM city GROUP BY Status,farm
44,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,farm
45,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,farm
46,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,farm
47,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,farm
48,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),farm
49,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),farm
50,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,farm
51,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,farm
